stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
SNLE_2,"Bassin 8",,  48.379875,  -4.505131,,,,1
SNLE_1,"Bassin 8",,  48.379951,  -4.505195,,,,1
POINTE_1,"Restau de la Pointe",,  48.379932,  -4.501630,,,,2
POINTE_2,"Restau de la Pointe",,  48.379631,  -4.501116,,,,2
KERISB_2,"Kérisbian",,  48.398788,  -4.448903,,,,1
HYDRO_2,"Hydro",,  48.378754,  -4.499254,,,,2
HYDRO_1,"Hydro",,  48.378300,  -4.498381,,,,2
ARTILL_2,"Quai des Subsistances",,  48.379234,  -4.497352,,,,2
ARTILL_1,"Quai des Subsistances",,  48.379120,  -4.497310,,,,2
J_BART_2,"Jean Bart",,  48.382729,  -4.496997,,,,2
J_BART_1,"Jean Bart",,  48.382790,  -4.497032,,,,2
POSTE4_2,"Poste 4",,  48.384754,  -4.497722,,,,2
POSTE4_1,"Poste 4",,  48.384647,  -4.497695,,,,2
DIREC_2,"Bassin 3",,  48.387764,  -4.496897,,,,1
DIREC_1,"Bassin 3",,  48.387836,  -4.497489,,,,1
C_RES_2,"Cent. Réseaux",,  48.390671,  -4.497968,,,,2
C_RES_1,"Cent. Réseaux",,  48.390587,  -4.497984,,,,2
BORDE_2,"Bordenave",,  48.392586,  -4.501472,,,,1
BORDE_1,"Bordenave",,  48.392597,  -4.501770,,,,1
POST15_2,"Poste 15",,  48.394878,  -4.505538,,,,1
POST15_1,"Poste 15",,  48.394909,  -4.505908,,,,1
POST16_2,"Arrière Garde",,  48.396729,  -4.505862,,,,1
POST16_1,"Arrière Garde",,  48.396919,  -4.505020,,,,1
B_FER_2,"Brasserie",,  48.396976,  -4.500299,,,,1
B_FER_1,"Brasserie",,  48.397556,  -4.500916,,,,1
POSTE8_2,"Poste 8",,  48.389854,  -4.494135,,,,1
POSTE8_1,"Poste 8",,  48.389839,  -4.494066,,,,1
TREHOU_2,"Trehouart",,  48.387661,  -4.494770,,,,1
GFM,"GFM",,  48.387798,  -4.494571,,,,1
ST_VA_1,"Strasbourg Valmy",,  48.401299,  -4.466969,,,,1
ST_VA_2,"Strasbourg Valmy",,  48.401089,  -4.467037,,,,1
ST_AL_3,"Strasbourg",,  48.402885,  -4.468301,,,,1
ST_AL_2,"Strasbourg louppe",,  48.402561,  -4.467486,,,,1
THUDON_3,"St Thudon",,  48.441231,  -4.422906,,,,2
COSMAO_1,"Cosmao Prétôt",,  48.382923,  -4.517236,,,,1
COSMAO_2,"Cosmao Prêtôt",,  48.382832,  -4.516804,,,,1
TOULL_1,"Toull-ar-Ranig",,  48.367855,  -4.372566,,,,1
TOULL_2,"Toull-ar-Ranig",,  48.367783,  -4.372570,,,,1
BODONN_1,"Bodonn",,  48.370586,  -4.379052,,,,1
BODONN_2,"Bodonn",,  48.370491,  -4.379039,,,,1
SALAUN_1,"Salaun",,  48.372536,  -4.379858,,,,1
SALAUN_2,"Salaun",,  48.372425,  -4.379911,,,,1
FILLIG_1,"Filliger",,  48.375637,  -4.379878,,,,1
FILLIG_2,"Filliger",,  48.375553,  -4.379988,,,,1
C,"Multiplexe",,  48.390930,  -4.487569,,,,1
KERLOIS5,"Kerlois Botred",,  48.441505,  -4.465690,,,,1
PGARE_1,"Petite Gare",,  48.431435,  -4.510849,,,,1
PGARE_2,"Petite Gare",,  48.431309,  -4.510994,,,,1
IROISE_1,"Clinique Iroise",,  48.435478,  -4.502781,,,,1
IROISE_2,"Clinique Iroise",,  48.435585,  -4.503229,,,,1
GDDUC_1,"Grand Duc",,  48.380375,  -4.492150,,,,1
G_RIV_1,"Grande Rivière",,  48.375984,  -4.508252,,,,2
ALFOST,"Alfost",,  48.371441,  -4.517910,,,,1
G_RIV_2,"Grande Rivière",,  48.374111,  -4.513777,,,,2
FORMES_1,"Formes",,  48.385857,  -4.475593,,,,1
SPA,"Spadium Parc",,  48.396915,  -4.422154,,,,1
NORMAN_2,"Normandie",,  48.402172,  -4.510005,,,,1
NORMAN_1,"Normandie",,  48.402195,  -4.509737,,,,1
MIMOSA_2,"Mimosas",,  48.367767,  -4.548378,,,,1
MIMOSA_1,"Mimosas",,  48.368168,  -4.548972,,,,1
QUARTZ_2,"Liberté Quartz",,  48.389709,  -4.485146,,,,1
BOHARS_1,"Bohars bourg",,  48.427929,  -4.515107,,,,1
OCEANO_2,"Océanopolis",,  48.391140,  -4.435999,,,,1
MALAKO_R,"Malakoff",,  48.396515,  -4.483854,,,,1
PROVEN_2,"Provence",,  48.407467,  -4.514698,,,,1
